time_ms,adc_output_mv,smoothed_mv,is_r_peak
1380251,1843,1842.0,0
1380283,1840,1842.333,0
1380315,1844,1842.0,0
1380347,1842,1842.667,0
1380379,1842,1841.333,0
1380411,1840,1842.667,0
1380443,1846,1843.333,0
1380475,1844,1843.667,0
1380507,1841,1843.333,0
1380539,1845,1843.0,0
1380571,1843,1833.333,0
1380603,1812,1877.667,0
1380634,1978,1876.0,0
1380666,1838,1883.667,1
1380698,1835,1833.667,0
1380730,1828,1828.667,0
1380761,1823,1824.0,0
1380792,1821,1820.333,0
1380823,1817,1822.0,0
1380854,1828,1829.0,0
1380885,1842,1839.0,0
1380917,1847,1845.667,0
1380949,1848,1848.0,0
1380981,1849,1849.0,0
1381013,1850,1854.0,0
1381045,1863,1858.667,0
1381077,1863,1865.333,0
1381109,1870,1866.333,0
1381141,1866,1864.333,0
1381173,1857,1857.667,0
1381205,1850,1851.333,0
1381237,1847,1848.333,0
1381269,1848,1854.0,0
1381301,1867,1860.0,0
1381333,1865,1859.0,0
1381365,1845,1840.667,0
1381397,1812,1888.667,0
1381428,2009,1888.667,0
1381460,1845,1897.333,1
1381492,1838,1838.333,0
1381524,1832,1832.0,0
1381555,1826,1826.667,0
1381586,1822,1823.667,0
1381617,1823,1825.0,0
1381648,1830,1831.667,0
1381679,1842,1838.0,0
1381711,1842,1842.333,0
1381743,1843,1842.667,0
1381775,1843,1843.0,0
1381807,1843,1842.333,0
1381839,1841,1841.333,0
1381871,1840,1840.0,0
1381903,1839,1840.333,0
1381935,1842,1841.333,0
1381967,1843,1842.667,0
1381999,1843,1841.333,0
1382031,1838,1840.333,0
1382063,1840,1840.333,0
1382095,1843,1843.0,0
1382127,1846,1844.333,0
1382159,1844,1834.0,0
1382191,1812,1877.667,0
1382222,1977,1878.333,0
1382254,1846,1887.667,1
1382286,1840,1838.667,0
1382318,1830,1830.667,0
1382349,1822,1823.333,0
1382380,1818,1819.333,0
1382411,1818,1819.333,0
1382442,1822,1824.667,0
1382473,1834,1832.0,0
1382505,1840,1839.0,0
1382537,1843,1842.667,0
1382569,1845,1843.667,0
1382601,1843,1843.333,0
1382633,1842,1843.667,0
1382665,1846,1844.0,0
1382697,1844,1844.333,0
