1384858,1947
1384890,1904
1384922,1879
1384954,1863
1384986,1866
1385018,1865
1385050,1850
1385082,1850
1385114,1852
1385146,1854
1385178,1850
1385210,1849
1385242,1848
1385274,1848
1385306,1866
1385338,1852
1385370,1813
1385401,2031
1385433,1854
1385465,1843
1385497,1838
1385529,1826
1385560,1821
1385591,1820
1385622,1830
1385653,1841
1385685,1847
1385717,1848
1385749,1849
1385781,1847
1385813,1844
1385845,1844
1385877,1848
1385909,1847
1385941,1848
1385973,1848
1386005,1849
1386037,1853
1386069,1849
1386101,1851
1386133,1848
1386165,1849
1386197,1829
1386228,1882
1386260,1872
1386292,1844
1386324,1841
1386356,1834
1386388,1821
1386419,1817
1386450,1818
1386481,1831
1386512,1839
1386544,1846
1386576,1847
1386608,1847
1386640,1846
1386672,1846
1386704,1845
1386736,1845
1386768,1844
1386800,1843
1386832,1843
1386864,1843
1386896,1841
1386928,1840
1386960,1838
1386992,1842
1387024,1840
1387056,1817
1387087,1924
1387119,1836
1387151,1830
1387182,1824
1387213,1822
1387244,1817
1387275,1817
1387306,1825
1387337,1839
1387369,1845
1387401,1846
1387433,1843
1387465,1840
1387497,1841
1387529,1844
1387561,1844
1387593,1846
1387625,1849
1387657,1849
1387689,1847
1387721,1846
1387753,1848
1387785,1843
1387817,1813
1387848,2030
1387880,1846
1387912,1841
1387944,1831
1387975,1824
1388006,1818
1388037,1819
1388068,1827
1388099,1846
1388131,1848
1388163,1849
1388195,1850
1388227,1850
1388259,1848
1388291,1844
1388323,1846
1388355,1848
1388387,1849
1388419,1846
1388451,1850
1388483,1875
1388515,1833
1388546,1961
1388578,1893
1388610,1853
1388642,1842
1388674,1836
1388706,1825
1388737,1822
1388768,1824
1388799,1843
1388831,1855
1388863,1852
1388895,1857
1388927,1849
1388959,1847
1388991,1844
1389023,1848
1389055,1847
1389087,1844
1389119,1852
1389151,1851
1389183,1854
1389215,1815
1389246,2035
1389278,1852
1389310,1844
1389342,1839
1389374,1830
1389405,1829
1389436,1829
1389467,1840
1389499,1879
1389531,1893
1389563,1914
1389595,1883
1389627,1881
1389659,1887
1389691,1879
1389723,1874
1389755,1852
1389787,1874
1389819,1897
1389851,1857
1389883,1823
1389914,1995
1389946,1846
1389978,1845
1390010,1841
1390042,1834
1390074,1828
1390105,1827
1390136,1841
1390168,1856
1390200,1862
1390232,1852
1390264,1851
1390296,1847
1390328,1848
1390360,1853
1390392,1845
1390424,1845
1390456,1852
1390488,1848
1390520,1818
1390551,2110
1390583,1853
1390615,1840
1390647,1840
1390679,1830
1390710,1821
1390741,1822
1390772,1831
1390803,1844
1390835,1843
1390867,1849
1390899,1848
1390931,1847
1390963,1845
1390995,1853
1391027,1849
1391059,1848
1391091,1853
1391123,1849
1391155,1820
1391186,2024
1391218,1861
1391250,1846
1391282,1842
1391314,1833
1391345,1822
1391376,1819
1391407,1832
1391438,1847
1391470,1858
1391502,1856
1391534,1850
1391566,1849
1391598,1849
1391630,1855
1391662,1853
1391694,1849
1391726,1846
1391758,1848
1391790,1846
1391822,1832
1391853,1864
1391885,1902
1391917,1859
1391949,1843
1391981,1834
1392013,1828
1392044,1824
1392075,1823
1392106,1841
1392138,1847
1392170,1850
1392202,1853
1392234,1847
1392266,1848
1392298,1851
1392330,1882
1392362,1892
1392394,1884
1392426,1872
1392458,1861
1392490,1877
1392522,1857
1392554,1823
1392585,1949
1392617,1849
1392649,1842
1392681,1839
1392713,1833
1392744,1828
1392775,1825
